시군명,관서명,지방청명,경찰서명,구분명,소재지우편번호,소재지지번주소,소재지도로명주소,WGS84위도,WGS84경도
가평군,조종파출소,경기북부청,가평,파출소,12437,경기도 가평군 조종면 현리 267-5번지 조종파출소,경기도 가평군 조종면 현창로 43,37.8186465,127.3478687
가평군,읍내파출소,경기북부청,가평,파출소,12419,경기도 가평군 가평읍 대곡리 213-4번지,경기도 가평군 가평읍 가화로 38,37.823349,127.5161575
가평군,북면파출소,경기북부청,가평,파출소,12403,경기도 가평군 북면 목동리 848번지,경기도 가평군 북면 화악산로 6,37.8856134,127.5499072
가평군,상면파출소,경기북부청,가평,파출소,12444,경기도 가평군 상면 연하리 171-1번지,경기도 가평군 상면 청군로 1101,37.8048712,127.3569568
가평군,청평파출소,경기북부청,가평,파출소,12452,경기도 가평군 청평면 청평리 462-3번지,경기도 가평군 청평면 청평중앙로 33,37.7372984,127.4182253
가평군,설악파출소,경기북부청,가평,파출소,12467,경기도 가평군 설악면 신천리 434-4번지 번길,경기도 가평군 설악면 신천중앙로 115,37.6776391,127.4906672
고양시,관산파출소,경기북부청,고양,파출소,,경기도 고양시 덕양구  통일로 782번길,,,
고양시,원당지구대,경기북부청,고양,지구대,10465,경기도 고양시 덕양구 성사동 408-5번지,경기도 고양시 덕양구 호국로790번길 105,37.6542113,126.8415689
고양시,화정지구대,경기북부청,고양,지구대,10498,경기도 고양시 덕양구 화정동 960번지,경기도 고양시 덕양구 은빛로 80,37.636996,126.8366777
고양시,신도파출소,경기북부청,고양,파출소,10590,경기도 고양시 덕양구 삼송동 30-27번지,경기도 고양시 덕양구 신도길 6,37.6528298,126.893982
고양시,주엽지구대,경기북부청,일산,지구대,10386,경기도 고양시 일산서구 주엽동 70번지,경기도 고양시 일산서구 강성로 107,37.6699087,126.7634854
고양시,대화지구대,경기북부청,일산,지구대,10368,경기도 고양시 일산서구 대화동 2036번지,경기도 고양시 일산서구 일산로 670,37.682711,126.7545678
고양시,풍사파출소,경기북부청,일산,파출소,10304,경기도 고양시 일산동구 식사동 562-2번지,경기도 고양시 일산동구 은행마을로6번길 86,37.6662697,126.8080396
