경찰서,주소,인원증감,증감율
서울중부,서울특별시 중구 수표로 27 (저동2가),4,0.7782
서울종로,서울특별시 종로구 율곡로 46 (경운동),6,0.936
서울남대문,서울특별시 중구 한강대로 410 (남대문로5가),1,0.2024
서울서대문,서울특별시 서대문구 통일로 113 (미근동),6,0.9105
서울혜화,서울특별시 종로구 창경궁로 112-16 (인의동),0,0.0
서울용산,서울특별시 용산구 원효로89길 24 (원효로1가),0,0.0
서울성북,서울특별시 성북구 보문로 170 (삼선동5가),2,0.3731
서울동대문,서울특별시 동대문구 약령시로21길 29 (청량리동),3,0.3731
서울마포,서울특별시 마포구 마포대로 183 (아현동),12,1.4134
서울영등포,서울특별시 영등포구 국회대로 608 (당산동3가),13,1.357
서울성동,서울특별시 성동구 왕십리광장로 9 (행당동),1,0.1577
서울동작,서울특별시 동작구 노량진로 148 (노량진동),4,0.6051
서울광진,서울특별시 광진구 자양로 167 (구의동),9,1.3025
서울서부,서울특별시 은평구 진흥로58 (녹번동),-1,-0.2451
서울강북,서울특별시 강북구 오패산로 406 (번동),6,0.916
서울금천,서울특별시 금천구 시흥대로73길 50(시흥동),-22,-3.8664
서울중랑,서울특별시 중랑구 신내역로3길 40-10 (신내동),1,0.1339
서울강남,서울특별시 강남구 테헤란로114길 11 (삼성동),22,2.7431
서울관악,서울특별시 관악구 관악로5길 33 (봉천동),40,4.717
서울강서,서울특별시 강서구 화곡로 73 (신월동),25,2.7933
서울강동,서울특별시 강동구 성내로 57 (성내동),10,1.3643
서울종암,서울특별시 성북구 종암로 135 (종암동),1,0.2451
서울구로,서울특별시 구로구 가마산로 235 (구로동),8,1.0884
서울서초,서울특별시 서초구 반포대로 179 (서초동),21,3.0657
서울양천,서울특별시 양천구 목동동로 99 (신정동),0,0.0
서울송파,서울특별시 송파구 중대로 221 (가락동),7,0.6876
서울노원,서울특별시 노원구 노원로 283 (하계동),-3,-0.3736
서울방배,서울특별시 서초구 동작대로 204(방배동),0,0.0
서울은평,서울특별시 은평구 연서로 365 (불광동),-6,-1.2121
서울도봉,서울특별시 도봉구 노해로 403 (창동),4,0.7273
서울수서,서울특별시 강남구 개포로 617 (개포동),5,0.8052
부산중부,부산광역시 중구 중앙대로 105 (대창동1가),1,0.3215
부산동래,부산광역시 동래구 명륜로 70 (수안동),5,0.9416
부산영도,부산광역시 영도구 태종로 46 (대교동1가),2,0.5435
부산동부,부산광역시 동구 중앙대로 387 (수정동),0,0.0
부산진,부산광역시 부산진구 부전로111번길 6 (부전동),6,0.7308
부산서부,부산광역시 서구 대영로 16 (서대신동2가),1,0.2882
부산남부,부산광역시 남구 황령대로319번가길 81 (대연동),3,0.4038
부산해운대,부산광역시 해운대구 해운대로 129 (재송동),6,0.8559
부산사상,부산광역시 사상구 학감대로 264 (감전동),7,1.3944
부산금정,부산광역시 금정구 중앙대로 1819 (구서동),3,0.5814
부산사하,부산광역시 사하구 을숙도대로 665 (신평동),8,1.3841
부산연제,부산광역시 연제구 토곡로 26 (연산동),5,0.9107
부산강서,부산광역시 강서구 명지국제1로 305 (명지동),4,1.2658
부산북부,부산광역시 북구 화명신도시로 63 (화명동),6,1.3043
부산기장,부산광역시 기장군 일광면 기장대로 692,4,1.2698
대구중부,대구광역시 중구 경상감영길 55 (서문로1가),1,0.2519
대구동부,대구광역시 동구 반야월북로 209 (각산동),8,1.2403
대구서부,대구광역시 서구 국채보상로 249 (평리동),4,0.8772
대구남부,대구광역시 남구 대명로 249 (대명동),4,1.023
대구북부,대구광역시 북구 원대로 100 (침산동),0,0.0
대구수성,대구광역시 수성구 달구벌대로 2460 (범어동),6,0.9302
대구달서,대구광역시 달서구 학산로 55 (월성동),8,1.8605
대구성서,대구광역시 달서구 달구벌대로259길 15 (이곡동),6,1.1173
대구달성,대구광역시 달성군 현풍면 현풍중앙로 16,16,4.5845
대구강북,대구광역시 북구 동암로 130 (구암동),7,2.0115
인천중부,인천광역시 중구 제물량로 237 (항동2가),7,1.2774
인천남동,인천광역시 남동구 남동대로 668 (구월동),12,2.1661
인천부평,인천광역시 부평구 길주로 511 (청천동),7,1.4894
인천삼산,인천광역시 부평구 굴포로 104 (삼산동),9,1.9694
인천서부,인천광역시 서구 탁옥로 77 (심곡동),13,1.9374
인천계양,인천광역시 계양구 계산새로 68 (계산동),10,2.0747
인천연수,인천광역시 연수구 원인재로 138 (연수동),10,2.2936
인천강화,인천광역시 강화군 강화읍 동문안길 17,5,2.4038
인천논현,인천광역시 남동구 논현고잔로 239 (논현동),2,0.5115
광주동부,광주광역시 동구 예술길 33 (대의동),2,0.542
광주서부,광주광역시 서구 상무공원로 71 (치평동),8,1.4467
광주남부,광주광역시 남구 용대로74번안길 9-5 (봉선동),3,0.8287
광주북부,광주광역시 북구 서하로 172 (오치동),18,2.521
광주광산,광주광역시 광산구 어등대로 551 (운수동),17,3.0142
대전중부,대전광역시 중구 중앙로 112 (대흥동),11,2.4609
대전동부,대전광역시 대덕구 계족로 670 (법동),6,1.2903
대전서부,대전광역시 서구 복수서로 47 (복수동),7,1.9231
대전대덕,대전광역시 대덕구 대덕대로1417번길 11 (문평동),5,1.4881
대전둔산,대전광역시 서구 한밭대로 733 (둔산동),4,0.9479
대전유성,대전광역시 유성구 북유성대로 112 (죽동),10,2.3419
울산중부,울산광역시 중구 번영로 620 (남외동),13,2.3679
울산남부,울산광역시 남구 삼산로35번길 25 (신정동),11,1.7405
울산동부,울산광역시 동구 진성4길 11 (전하동),5,1.3333
울산울주,울산광역시 울주군 범서읍 점촌6길 6,3,0.7958
수원중부,경기도 수원시 장안구 정자천로 199 (정자동),7,1.1438
수원남부,경기도 수원시 영통구 매봉로 52 (매탄동),24,3.3149
수원서부,경기도 수원시 권선구 서부로 1673 (탑동),5,1.0204
안양동안,경기도 안양시 동안구 동안로159번길 43 (비산동),9,1.919
안양만안,경기도 안양시 만안구 냉천로 63 (안양동),9,2.1176
군포,경기도 군포시 산본로324번길 16 (금정동),8,2.0253
성남수정,경기도 성남시 수정구 성남대로 1259 (태평동),7,1.3462
성남중원,경기도 성남시 중원구 금빛로2번길 10 (상대원동),3,0.6135
분당,경기도 성남시 분당구 정자일로 165 (정자동),22,3.7607
부천소사,경기도 부천시 소사구 경인로160번길 70 (송내동),4,1.1461
부천원미,경기도 부천시 원미구 조마루로311번길 84 (중동),21,2.6316
부천오정,경기도 부천시 오정구 소사로 631 (여월동),5,1.5198
광명,경기도 광명시 디지털로 5 (철산동),15,3.1447
안산단원,경기도 안산시 단원구 화랑로 373 (고잔동),9,1.2363
안산상록,경기도 안산시 상록구 차돌배기로 10 (사동),9,1.5707
시흥,경기도 시흥시 황고개로 513 (장곡동),14,1.8996
평택,경기도 평택시 중앙로 67 (비전동),20,2.4907
