년도,지방청,경찰서,주소,경찰관
2016년,서울,서울중부,서울특별시 중구 수표로 27 (저동2가),511
2016년,서울,서울종로,서울특별시 종로구 율곡로 46 (경운동),639
2016년,서울,서울남대문,서울특별시 중구 한강대로 410 (남대문로5가),488
2016년,서울,서울서대문,서울특별시 서대문구 통일로 113 (미근동),654
2016년,서울,서울혜화,서울특별시 종로구 창경궁로 112-16 (인의동),481
2016년,서울,서울용산,서울특별시 용산구 원효로89길 24 (원효로1가),685
2016년,서울,서울성북,서울특별시 성북구 보문로 170 (삼선동5가),534
2016년,서울,서울동대문,서울특별시 동대문구 약령시로21길 29 (청량리동),789
2016년,서울,서울마포,서울특별시 마포구 마포대로 183 (아현동),825
2016년,서울,서울영등포,서울특별시 영등포구 국회대로 608 (당산동3가),944
2016년,서울,서울성동,서울특별시 성동구 왕십리광장로 9 (행당동),638
2016년,서울,서울동작,서울특별시 동작구 노량진로 148 (노량진동),650
2016년,서울,서울광진,서울특별시 광진구 자양로 167 (구의동),674
2016년,서울,서울서부,서울특별시 은평구 진흥로58 (녹번동),398
2016년,서울,서울강북,서울특별시 강북구 오패산로 406 (번동),648
2016년,서울,서울금천,서울특별시 금천구 시흥대로73길 50(시흥동),567
2016년,서울,서울중랑,서울특별시 중랑구 신내역로3길 40-10 (신내동),736
2016년,서울,서울강남,서울특별시 강남구 테헤란로114길 11 (삼성동),781
2016년,서울,서울관악,서울특별시 관악구 관악로5길 33 (봉천동),834
2016년,서울,서울강서,서울특별시 강서구 화곡로 73 (신월동),864
2016년,서울,서울강동,서울특별시 강동구 성내로 57 (성내동),722
2016년,서울,서울종암,서울특별시 성북구 종암로 135 (종암동),409
2016년,서울,서울구로,서울특별시 구로구 가마산로 235 (구로동),721
2016년,서울,서울서초,서울특별시 서초구 반포대로 179 (서초동),672
2016년,서울,서울양천,서울특별시 양천구 목동동로 99 (신정동),749
2016년,서울,서울송파,서울특별시 송파구 중대로 221 (가락동),"1,000"
2016년,서울,서울노원,서울특별시 노원구 노원로 283 (하계동),785
2016년,서울,서울방배,서울특별시 서초구 동작대로 204(방배동),362
2016년,서울,서울은평,서울특별시 은평구 연서로 365 (불광동),487
2016년,서울,서울도봉,서울특별시 도봉구 노해로 403 (창동),544
2016년,서울,서울수서,서울특별시 강남구 개포로 617 (개포동),616
2016년,부산,부산중부,부산광역시 중구 중앙대로 105 (대창동1가),312
2016년,부산,부산동래,부산광역시 동래구 명륜로 70 (수안동),530
2016년,부산,부산영도,부산광역시 영도구 태종로 46 (대교동1가),376
2016년,부산,부산동부,부산광역시 동구 중앙대로 387 (수정동),400
2016년,부산,부산진,부산광역시 부산진구 부전로111번길 6 (부전동),800
2016년,부산,부산서부,부산광역시 서구 대영로 16 (서대신동2가),354
2016년,부산,부산남부,부산광역시 남구 황령대로319번가길 81 (대연동),741
2016년,부산,부산해운대,부산광역시 해운대구 해운대로 129 (재송동),690
2016년,부산,부산사상,부산광역시 사상구 학감대로 264 (감전동),503
2016년,부산,부산금정,부산광역시 금정구 중앙대로 1819 (구서동),519
2016년,부산,부산사하,부산광역시 사하구 을숙도대로 665 (신평동),574
2016년,부산,부산연제,부산광역시 연제구 토곡로 26 (연산동),551
2016년,부산,부산강서,부산광역시 강서구 명지국제1로 305 (명지동),313
2016년,부산,부산북부,부산광역시 북구 화명신도시로 63 (화명동),465
2016년,부산,부산기장,부산광역시 기장군 일광면 기장대로 692,316
2016년,대구,대구중부,대구광역시 중구 경상감영길 55 (서문로1가),393
2016년,대구,대구동부,대구광역시 동구 반야월북로 209 (각산동),630
2016년,대구,대구서부,대구광역시 서구 국채보상로 249 (평리동),449
2016년,대구,대구남부,대구광역시 남구 대명로 249 (대명동),393
2016년,대구,대구북부,대구광역시 북구 원대로 100 (침산동),434
2016년,대구,대구수성,대구광역시 수성구 달구벌대로 2460 (범어동),632
2016년,대구,대구달서,대구광역시 달서구 학산로 55 (월성동),425
2016년,대구,대구성서,대구광역시 달서구 달구벌대로259길 15 (이곡동),520
2016년,대구,대구달성,대구광역시 달성군 현풍면 현풍중앙로 16,345
2016년,대구,대구강북,대구광역시 북구 동암로 130 (구암동),347
2016년,인천,인천중부,인천광역시 중구 제물량로 237 (항동2가),557
2016년,인천,인천남부,인천광역시 남구 매소홀로290번길 32,706
2016년,인천,인천남동,인천광역시 남동구 남동대로 668 (구월동),783
2016년,인천,인천부평,인천광역시 부평구 길주로 511 (청천동),470
2016년,인천,인천삼산,인천광역시 부평구 굴포로 104 (삼산동),439
2016년,인천,인천서부,인천광역시 서구 탁옥로 77 (심곡동),627
2016년,인천,인천계양,인천광역시 계양구 계산새로 68 (계산동),472
2016년,인천,인천연수,인천광역시 연수구 원인재로 138 (연수동),419
2016년,인천,인천강화,인천광역시 강화군 강화읍 동문안길 17,213
2016년,광주,광주동부,광주광역시 동구 예술길 33 (대의동),368
2016년,광주,광주서부,광주광역시 서구 상무공원로 71 (치평동),537
