죄종별(1),죄종별(2),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
죄종별(1),죄종별(2),계,서울,부산,대구,인천,광주,대전,울산,세종,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,강원도,강원도,강원도,강원도,강원도,강원도,강원도,충청북도,충청북도,충청북도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라남도,전라남도,전라남도,전라남도,전라남도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,제주특별자치도,제주특별자치도,기타도시,도시이외,계,서울,부산,대구,인천,광주,대전,울산,세종,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,강원도,강원도,강원도,강원도,강원도,강원도,강원도,충청북도,충청북도,충청북도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라남도,전라남도,전라남도,전라남도,전라남도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,제주특별자치도,제주특별자치도,기타도시,도시이외,계,서울,부산,대구,인천,광주,대전,울산,세종,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,강원도,강원도,강원도,강원도,강원도,강원도,강원도,충청북도,충청북도,충청북도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라남도,전라남도,전라남도,전라남도,전라남도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,제주특별자치도,제주특별자치도,기타도시,도시이외,계,서울,부산,대구,인천,광주,대전,울산,세종,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,강원도,강원도,강원도,강원도,강원도,강원도,강원도,충청북도,충청북도,충청북도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라남도,전라남도,전라남도,전라남도,전라남도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,제주특별자치도,제주특별자치도,기타도시,도시이외
죄종별(1),죄종별(2),소계,소계,소계,소계,소계,소계,소계,소계,소계,고양시,과천시,광명시,광주시,구리시,군포시,김포시,남양주시,동두천시,부천시,성남시,수원시,시흥시,안산시,안성시,안양시,양주시,여주시,오산시,용인시,의왕시,의정부시,이천시,파주시,평택시,포천시,하남시,화성시,강릉시,동해시,삼척시,속초시,원주시,춘천시,태백시,제천시,청주시,충주시,계룡시,공주시,논산시,당진시,보령시,서산시,아산시,천안시,군산시,김제시,남원시,익산시,전주시,정읍시,광양시,나주시,목포시,순천시,여수시,경산시,경주시,구미시,김천시,문경시,상주시,안동시,영주시,영천시,포항시,거제시,김해시,밀양시,사천시,양산시,진주시,창원시,통영시,서귀포시,제주시,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,고양시,과천시,광명시,광주시,구리시,군포시,김포시,남양주시,동두천시,부천시,성남시,수원시,시흥시,안산시,안성시,안양시,양주시,여주시,오산시,용인시,의왕시,의정부시,이천시,파주시,평택시,포천시,하남시,화성시,강릉시,동해시,삼척시,속초시,원주시,춘천시,태백시,제천시,청주시,충주시,계룡시,공주시,논산시,당진시,보령시,서산시,아산시,천안시,군산시,김제시,남원시,익산시,전주시,정읍시,광양시,나주시,목포시,순천시,여수시,경산시,경주시,구미시,김천시,문경시,상주시,안동시,영주시,영천시,포항시,거제시,김해시,밀양시,사천시,양산시,진주시,창원시,통영시,서귀포시,제주시,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,고양시,과천시,광명시,광주시,구리시,군포시,김포시,남양주시,동두천시,부천시,성남시,수원시,시흥시,안산시,안성시,안양시,양주시,여주시,오산시,용인시,의왕시,의정부시,이천시,파주시,평택시,포천시,하남시,화성시,강릉시,동해시,삼척시,속초시,원주시,춘천시,태백시,제천시,청주시,충주시,계룡시,공주시,논산시,당진시,보령시,서산시,아산시,천안시,군산시,김제시,남원시,익산시,전주시,정읍시,광양시,나주시,목포시,순천시,여수시,경산시,경주시,구미시,김천시,문경시,상주시,안동시,영주시,영천시,포항시,거제시,김해시,밀양시,사천시,양산시,진주시,창원시,통영시,서귀포시,제주시,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,고양시,과천시,광명시,광주시,구리시,군포시,김포시,남양주시,동두천시,부천시,성남시,수원시,시흥시,안산시,안성시,안양시,양주시,여주시,오산시,용인시,의왕시,의정부시,이천시,파주시,평택시,포천시,하남시,화성시,강릉시,동해시,삼척시,속초시,원주시,춘천시,태백시,제천시,청주시,충주시,계룡시,공주시,논산시,당진시,보령시,서산시,아산시,천안시,군산시,김제시,남원시,익산시,전주시,정읍시,광양시,나주시,목포시,순천시,여수시,경산시,경주시,구미시,김천시,문경시,상주시,안동시,영주시,영천시,포항시,거제시,김해시,밀양시,사천시,양산시,진주시,창원시,통영시,서귀포시,제주시,소계,소계
계,소계,1662341,319046,118854,75024,95244,48205,46904,36531,4866,28577,1781,9012,10360,6977,6995,10361,16846,3245,31124,29661,45991,18725,28858,7382,17047,6536,4427,7563,22586,3145,14178,7993,13694,23839,6872,5408,19939,7127,3125,2864,4680,13568,9571,1233,4082,27847,6461,419,3125,3834,5045,3444,6485,8607,22376,10084,2297,2269,8129,17661,2859,5438,2807,9734,8640,9951,7032,8319,15304,3777,1885,2312,4746,2525,2911,17643,10775,18400,2888,3292,8258,10238,32654,5613,8385,24885,3772,99169,1580751,306661,115727,72270,88228,43515,45454,34389,5156,26957,1777,8364,9743,6458,5659,11071,15561,3249,29240,27089,42123,17268,25522,6507,15349,6726,3504,7402,20473,3221,14347,7805,12397,22629,6343,5382,19129,6250,3866,2196,3170,11107,8006,1090,3647,27047,6210,522,3207,3481,5127,3480,5149,8949,22628,9684,2662,2030,7879,17432,2824,4256,2831,9064,9474,11672,6962,8126,12598,3727,1633,2408,4500,2347,2993,16513,8638,16982,2786,3191,8657,8961,28025,6276,7640,21790,7769,100594,1611906,305909,119267,75707,93347,44102,45047,34128,6095,27903,1679,8557,9777,6983,5554,11182,15521,3142,28107,28066,41697,17456,25123,6313,14768,6295,3697,7266,21538,3114,14283,7790,11957,23500,6260,5898,21734,6861,2248,1958,3008,11355,8129,1365,3683,25900,6293,537,3006,3258,5032,3443,5080,9106,21797,11451,2199,1997,8103,17187,2793,4165,2913,9355,8336,13056,7296,9229,13156,3996,1777,2479,4641,2467,3149,16210,7542,18220,3017,3808,10519,9107,30027,7163,7483,20111,12632,105501,1587866,290816,120095,72171,91257,43179,44426,31834,6251,27043,1221,8080,10860,5732,5280,12388,14813,2975,28212,27066,40659,17726,26263,6513,14135,6486,3752,7391,21502,2975,14351,7454,11544,25466,5489,6815,21374,6220,2648,2130,3029,10716,8392,1162,3739,25572,6155,500,2702,3516,4895,3024,6115,9122,21344,10933,2014,2028,7853,17926,2920,4592,2905,8551,8053,12274,6803,8324,12755,4076,1481,2323,4843,2250,3070,16132,8121,18004,2797,3731,9915,10146,30522,5572,8168,20484,19592,104133
강력범죄,소계,27274,7474,1936,999,1880,803,799,485,84,391,29,116,116,136,119,129,238,47,478,461,672,243,482,89,323,62,61,131,303,38,265,104,181,264,83,46,228,112,49,30,46,157,126,21,64,446,114,7,51,59,76,69,75,126,325,107,30,26,104,289,43,53,42,146,136,127,96,105,193,55,23,35,68,20,34,217,124,202,28,48,128,155,399,48,92,352,30,1471,26787,6974,1712,1130,1743,792,848,496,106,400,21,144,103,109,89,124,241,62,460,487,637,254,427,83,277,85,66,97,302,42,255,110,162,268,89,60,212,138,46,26,48,168,107,20,76,432,94,6,53,64,62,55,66,165,343,120,38,32,113,342,36,74,44,165,142,130,125,99,159,60,30,38,62,31,35,196,136,196,47,39,112,139,374,260,110,322,42,1503,26476,6977,1716,1095,1749,753,802,516,68,381,20,137,102,118,92,134,241,65,497,436,629,260,416,86,234,82,75,133,300,36,256,118,159,246,87,67,243,121,39,28,38,197,118,31,69,418,90,8,44,46,74,66,81,142,328,149,30,35,119,347,49,61,57,182,135,101,123,111,176,57,37,44,64,40,53,191,95,182,42,37,111,125,413,58,118,358,50,1462,24332,6246,1593,917,1524,629,732,502,91,341,19,119,87,87,99,143,202,62,469,415,620,273,396,93,250,94,65,112,230,37,245,123,130,273,81,68,243,131,41,24,39,135,109,24,60,389,93,10,51,37,72,51,77,118,342,120,34,31,96,305,44,59,46,138,114,143,115,109,149,48,24,35,69,43,36,193,110,172,41,42,127,148,386,66,103,347,43,1383
강력범죄,살인기수,301,50,21,16,11,3,8,5,1,4,-,1,1,-,-,1,1,-,2,4,2,2,4,1,2,-,2,-,7,-,2,2,3,1,-,1,5,1,2,2,1,1,3,-,4,6,3,-,-,-,2,1,-,3,7,4,-,-,1,3,-,-,-,2,1,1,-,3,6,2,-,2,1,1,1,2,3,3,-,2,2,1,9,1,-,4,1,46,309,45,26,9,23,10,4,9,2,3,-,1,2,2,-,1,3,2,4,7,7,2,2,-,2,-,2,1,5,-,1,1,2,4,2,3,6,2,1,1,-,3,3,2,1,8,1,-,-,1,1,1,1,2,3,4,-,-,1,5,1,1,-,2,-,4,-,-,3,-,1,-,-,-,1,5,2,4,-,1,2,4,4,-,3,5,-,32,297,45,22,14,20,11,7,10,2,5,-,1,-,1,1,6,6,1,5,2,5,1,2,3,1,3,-,3,3,1,3,1,-,3,2,-,3,1,-,-,3,1,-,-,-,4,1,-,-,3,2,-,-,2,3,3,-,2,8,4,1,-,1,-,1,2,2,2,3,-,1,-,1,-,1,3,2,2,1,-,1,2,8,-,1,7,1,24,308,50,21,15,12,7,9,6,4,4,-,1,3,-,3,2,1,1,5,5,10,5,3,2,1,2,2,1,3,-,5,-,5,6,-,-,4,-,1,1,1,4,5,-,1,1,2,1,-,1,-,-,-,2,2,2,1,1,2,4,2,2,3,-,2,3,1,1,-,-,-,1,2,1,1,3,2,7,-,2,4,4,4,-,3,5,4,21
강력범죄,살인미수등,524,91,41,30,24,6,14,12,5,5,-,-,5,4,2,2,8,-,1,15,12,4,16,1,2,1,-,6,3,-,4,6,3,7,2,1,10,2,1,-,3,4,3,1,2,9,3,-,-,3,1,1,1,4,9,2,2,1,5,4,-,-,2,6,4,3,-,2,3,2,1,1,1,-,1,-,4,5,-,2,3,8,6,2,2,12,-,50,488,97,27,21,21,8,11,2,3,10,-,1,4,2,3,1,4,-,8,10,9,7,6,3,4,3,3,4,7,2,8,1,7,5,2,1,10,-,-,1,1,-,-,-,2,13,1,-,-,4,-,1,-,7,5,1,-,3,4,9,2,1,2,2,4,5,3,4,3,1,1,1,-,1,-,8,3,3,4,1,3,2,18,3,2,6,2,36,482,89,42,27,28,5,11,9,1,6,1,-,1,-,3,4,8,1,10,2,11,2,8,2,4,2,-,-,6,-,2,1,5,5,8,-,11,2,1,-,-,-,5,-,3,10,4,-,-,4,3,1,1,5,10,2,1,1,3,8,-,1,2,3,3,-,1,1,2,2,-,2,1,2,-,2,2,-,2,3,3,2,10,3,3,9,2,42,416,88,30,13,25,3,9,6,4,2,-,2,1,1,-,-,4,-,6,7,5,8,8,4,3,3,2,1,4,1,5,1,3,5,1,-,4,2,1,1,-,1,1,2,2,3,2,-,1,3,3,2,2,5,6,1,3,2,2,4,2,-,-,-,2,4,-,1,4,1,-,-,2,-,2,4,7,6,-,6,2,1,13,-,2,4,1,44
강력범죄,강도,967,167,102,37,73,33,41,25,3,14,1,1,4,4,4,3,7,4,13,14,25,8,17,3,13,3,-,5,12,3,15,2,6,9,5,1,6,6,3,-,1,7,5,-,4,11,5,-,1,3,2,1,-,8,15,5,1,-,7,11,-,2,1,5,4,5,4,11,8,3,-,1,1,1,1,17,4,8,2,1,7,4,21,4,2,33,3,35,821,139,86,44,37,27,51,26,5,7,-,7,3,5,-,4,3,2,20,16,20,10,10,3,3,-,-,9,1,2,10,-,5,14,6,-,5,3,-,2,1,2,3,-,4,15,2,-,1,1,6,1,-,7,19,3,1,3,6,11,-,3,1,10,2,3,4,7,7,4,-,-,1,2,2,6,3,10,2,3,4,5,19,3,1,9,4,35,798,133,81,31,60,27,25,27,-,8,-,5,5,3,2,1,7,1,12,13,19,15,13,5,7,1,13,7,7,-,4,1,4,12,4,1,7,4,2,-,2,8,3,4,4,22,2,-,3,-,1,-,1,12,13,7,-,2,2,10,1,-,4,8,1,3,3,5,4,2,-,-,1,2,3,4,2,9,-,-,6,3,10,4,7,14,5,34,663,141,38,33,45,24,14,14,2,10,-,4,-,2,3,7,8,5,16,15,9,6,16,4,5,4,2,1,6,-,7,1,4,12,1,2,4,8,-,1,2,7,1,-,3,9,3,1,-,-,3,2,1,15,14,2,-,4,-,9,1,1,2,5,-,4,-,1,5,-,-,1,1,1,-,6,-,4,-,-,7,8,16,2,3,11,1,33
강력범죄,강간,5223,1155,334,201,352,203,176,97,17,77,4,22,19,24,27,18,36,8,87,93,128,55,108,29,61,11,8,21,32,5,50,18,36,56,23,5,39,26,9,6,14,34,25,10,14,110,27,-,10,9,13,18,20,25,78,17,6,12,28,70,14,21,6,32,37,33,19,16,53,12,5,9,20,5,7,54,27,38,6,10,29,28,84,7,17,79,6,333,5293,1159,323,246,362,197,175,108,25,77,1,20,19,18,18,25,37,12,83,99,136,48,85,22,77,17,11,21,52,13,41,23,31,54,22,8,27,27,11,5,14,38,16,5,14,90,18,2,15,19,6,14,14,36,91,24,11,5,21,79,12,22,12,44,33,25,32,21,40,17,2,6,14,8,10,48,30,31,12,7,29,31,66,8,25,78,10,353,5310,1254,297,215,327,185,173,106,12,75,-,24,18,19,20,28,37,13,92,92,140,69,90,15,39,13,11,22,55,3,57,20,39,37,16,12,47,23,10,9,12,51,17,9,8,83,17,4,7,15,21,23,18,21,83,25,5,6,25,84,10,14,17,45,31,20,36,27,51,17,9,10,12,11,10,51,22,36,12,9,25,28,92,8,16,83,15,345,5313,1279,306,213,338,158,180,103,27,81,4,21,23,17,23,33,40,16,81,79,144,63,87,18,54,23,14,30,46,8,55,24,27,64,19,9,56,28,11,4,8,34,16,9,13,98,24,1,21,10,18,14,15,20,86,21,8,9,24,58,12,11,8,38,25,30,32,20,34,19,9,13,12,11,7,52,21,40,11,9,29,37,93,13,18,77,21,298
강력범죄,유사강간,636,144,43,26,44,23,33,2,-,5,-,2,5,2,5,3,5,1,4,10,14,12,19,3,2,1,-,1,4,2,7,1,2,7,-,3,3,2,1,1,-,4,4,1,2,16,1,-,-,2,4,-,2,3,5,6,-,2,3,12,1,2,4,9,-,3,4,2,3,2,1,1,2,-,-,10,3,3,-,-,3,1,11,-,3,3,2,54,776,180,46,29,44,24,20,11,4,14,1,6,3,-,3,2,8,2,16,15,20,4,16,1,2,3,-,3,14,-,5,-,1,7,2,-,7,4,1,1,4,6,5,1,2,13,2,-,4,4,2,1,-,5,15,6,-,-,5,15,1,2,3,7,4,5,7,4,3,1,2,3,2,1,-,6,12,4,1,-,2,5,19,-,4,14,1,54,782,171,48,39,46,24,30,22,1,9,-,6,3,1,5,3,3,-,11,8,23,10,16,2,7,2,1,6,11,3,9,4,9,7,3,3,9,4,-,2,-,11,5,2,6,10,3,1,4,-,-,2,1,3,7,1,3,-,2,8,1,3,2,6,3,1,8,2,7,2,2,2,2,-,1,5,5,8,1,-,4,8,11,2,4,3,2,57,823,197,63,28,45,19,25,18,2,12,-,5,7,3,7,3,6,1,15,8,16,14,17,2,9,-,1,1,8,2,12,-,5,11,1,5,13,1,-,1,-,2,9,1,3,6,5,1,3,1,1,3,4,4,7,11,1,-,2,11,-,-,2,6,7,7,4,3,12,1,-,1,1,2,3,6,9,5,-,4,4,7,8,1,3,15,1,53
