안전비상벨관리번호,설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
55859,1,1,향남읍 행정리 478 일원,경기도 화성시 향남읍 행정동로 96,경기도 화성시 향남읍 행정리 478번지,37.13336199,126.9289882,1,Y,N,N,,2017,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
52121,1,1,향남읍 행정리 460,,경기도 화성시 향남읍 행정리 460,37.12447585,126.9133218,1,Y,N,N,,2017,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
55860,1,1,향남읍 행정리 444 일원,,경기도 화성시 향남읍 행정리 444 일원,37.12781303,126.9177966,1,Y,N,N,,2017,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
55861,1,1,향남읍 하길리 1509,경기도 화성시 향남읍 상신하길로274번길 22,경기도 화성시 향남읍 하길리 1509번지,37.11172367,126.9103216,1,Y,N,N,,2017,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
55854,1,1,향남읍 하길리 1409-1 일원,,경기도 화성시 향남읍 하길리 1409-1 일원,37.08919809,126.9113275,1,Y,N,N,,2017,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
55855,1,1,향남읍 하길리 1210,,경기도 화성시 향남읍 하길리 1210,37.11178351,126.9062712,1,Y,N,N,,2017,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
55853,1,1,향남읍 상신리 1254,,경기도 화성시 향남읍 상신리 1254,37.10542146,126.9055143,1,Y,N,N,,2017,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
52530,1,1,화성시 청계동 527 일원,경기도 화성시 동탄대로시범길 219,경기도 화성시 청계동 515번지,37.20010677,127.1068816,1,Y,N,N,,2017,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
55679,1,1,화성시 청계동 527 일원(청계중앙고교 옆),경기도 화성시 동탄대로시범길 219,경기도 화성시 청계동 515번지,37.20010677,127.1068816,1,Y,N,N,,2017,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
52531,1,1,진안동 587-1 일원,,경기도 화성시 진안동 587-1 일원,37.21677262,127.0334252,1,Y,N,N,,2017,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
